Element,Melting Temperature (C),Measurement Pressure (MPa),Source Link
Ag,961.93,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=63cbd043a31f4f739ddb7632c1443d33
Al,660.37,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0cd1edf33ac145ee93a0aa6fc666c0e0&ckck=1
As,817,3.7,https://www.matweb.com/search/DataSheet.aspx?MatGUID=268629dd25734a559feb93f6e262e008
Au,1064.43,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d2a2119a08904a0fa706e9408cddb88e
Ba,725,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=2e940d5254a94f419a180b5a27ddc318
Be,1278,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=8a6a0df6122349b7bdc92662658d4a4f
Bi,271.3,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=09436237bf3c4067a2bb210cb02c31b5
Ca,839,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=15135dd30619457f902229b03619841a
Cd,321,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=ca862f5c59594be3b9a2d250460d2dba&ckck=1
Ce,795,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=431c79b473df430087f7581fd8b064bc
Co,1493,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=4602449fc566494ab3efa286e8827c99
Cr,1860,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=25ce9b7f40364cf79d54ed0db5c8e41f
Cs,28.4,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=f17b3dfeed5f42d391485d1983754dc2
Cu,1083.4,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=9aebe83845c04c1db5126fada6f76f7e
Dy,1409,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=8cdce331dd324e80ab4a9fd801466a92
Eu,822,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=3bac003d0ba447e3b67b13fd48d54efd
Fe,1535,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=654ca9c358264b5392d43315d8535b7d
Ga,29.78,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=94ce0c1f4eee4d479bfd783cb20cf561
Gd,1311,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=750a3dd8d69b44b79468fbaf72a2beef
Ge,937.4,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=a03ca6b2d6ae431aa5a7e71a129f9a4a
Hf,2227,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=7bfa1bc5f7f04e41934cb1e48a8c112b
Ho,1470,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=5a80bded54db40be85c0cd2f8902aa08
I,113.7,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=8e2e38c5aae3494bbfeb1f869998f7d1
In,156.61,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=9e97326bc9714ac784db755f86042b2e
Ir,2443,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=ec0e6805048b4d5e8c69c5ed3f0b0a87
La,920,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=092dbe0933ff4b25a4bfceaa24f9e81b
Li,180.54,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=11c2c11b550f4dfb934af51143c689f4
Lu,1656,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eef75b3432c94cb7a5b34eff09bfcbb0
Mg,648.8,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=dd0594df641645d6a48dae83f3caf6d0
Mn,1244,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0c483c2c8e3b4f0f8dc272efb7c58ffa
Mo,2617,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=ef57c33963404798ad0301a05692312a
Na,97.8,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=26b01aa816484d58a6916b4955409aa2
Nb,2467,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=ce32f2a811fd40ca8ea5e5680555cee9
Nd,1010,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=61dbbf5b1f34464984735709ef1ee38c
Ni,1455,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=e6eb83327e534850a062dbca3bc758dc
Np,637,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=773277a685004af4b98fe18953f6bf1f
Os,3050,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=e1985274ba8245e08ef58af5ba49267e
Pa,1572,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=5008398b32234120a1d10ab3303788bf
Pb,327.5,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=ebd6d2cdfdca4fc285885cc4749c36b1
Pd,1552,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=5cab8ad368a44544affae0b71f967b3d
Pr,931,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=4c9fbea67a6347e0a43f6b7da54a78f1
Pt,1769,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=fbf6c85feb104f88a3b5138f260eddf4
Pu,640,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=57def1ede7f94ef882d73d27653ee76e
Rh,1960,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=14bbeb93b0d04ad7b3714e52e198d724
Ru,2310,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=4994ba67881f4acfbcc9af9827e6acbd
Sb,630.74,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=9076b32fd7824846be366d91320195e2
Sc,1539,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d1e54a8ff92d48e18f94ff58c4fc9c4a
Sm,1072,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=121d3f8172f147ada769e4d90c8710d8
Sn,231.968,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=64d7cf04332e428dbca9f755f4624a6c
Sr,770,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=642c027dc503439189a782f6c9964b9c
Ta,2996,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d2d75c4b1c394724a8dbe08f039d3e83
Tb,1360,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6041c127d1a24724b21ff69551e57576
Tc,2200,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=c4a0b09ca0ec42ccbb7e5f4281f6d7aa
Th,1800,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=c29823b5976f4c319cabe0ae8c4075c3
Ti,1660,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=66a15d609a3f4c829cb6ad08f0dafc01
Tl,304,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=00f69978bc284635ae39c34271133bb4
Tm,1545,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=dac0f38bfebc4bac8819a10780ffc31f
U,1132.3,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6311bc909b6a42c8b7a75173245309a4
V,1735,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=2dc2a76245cd4c1caf9aacec8a9bf6dd
W,3370,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=41e0851d2f3c417ba69ea0188fa570e3
Y,1523,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=035b6d47fca54eceaf13a7c1b99a2dfc
Yb,824,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=be5a82bdeb7a45cf80ded0bea2673a6a
Zn,419.58,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=8909140a76074049809ad74d536ed606
Zr,1852,0.101325,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6e8936b3ad994f13bfb29923cc1506a9
